2369,3.78069,450258
2136,4.39324,286305
1261,3.16749,199164
1607,2.34217,368848
2018,3.85458,315860
1974,1.86104,254949
2595,3.4274,469141
1398,3.27399,250530
1873,2.42998,349491
1413,3.35838,198410
2534,3.75626,499440
2057,4.1881,260204
2040,3.11185,399239
1509,3.02147,315830
1808,3.89147,300461
1977,2.89156,329982
4488,4.88066,700416
2067,3.56603,344677
1980,3.77047,299024
1894,4.1501,285953
1333,3.30475,211442
1454,3.30243,465216
1307,3.29554,260786
2253,2.8564,329033
2962,4.22363,599345
1566,3.47633,329807
1737,3.09022,253104
2565,4.12035,313185
1435,2.99438,243335
3984,3.30556,573896
2048,2.83898,346794
1253,1.63111,299063
2495,3.14131,369830
4124,4.17924,548174
1167,3.14238,238573
2667,2.50395,299151
1489,2.02973,231485
3151,2.67696,580783
795,1.92442,180120
1653,3.21185,242906
1291,2.67966,229938
1198,3.13386,299249
1965,3.96196,240853
3035,3.60617,539111
1027,1.27359,168925
